Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
Support,Senior Executive,Financial,Payment Milestones,Ontime or max delay of 3 months,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Financial,Time to respond to RFPs Estimates,Max 5 days,2.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Financial,People Addition to project,Not more than 10% more than planned,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Financial,Incident analysis,100% adherence to SLA of trouble shooting and timely action based on defined SOPs and instructions by L2/ L3,5.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Financial,Monthly Billing Data,before 5th of every month to A/C & Finance,3.00,"Mention Dependencies if any; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,Financial,Unplanned downtime,As per SLA,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,Financial,Technical declines,Success Rate approx 99.95%,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,Project / Process,Use of Tools (Zoho) for project Tracking,100% Adaption,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Project / Process,Stage wise tracking of estimates planned vs actual,Every Month for all projects,2.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Project / Process,Focus on QA process for improvement of Quality,100% QA,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Project / Process,Daily Checklist,100%Adherence to execution of daily task list and preparation of daily checklist report,6.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Project / Process,Review daily Task with L2,100% Submission of daily tracker and review with L2/L3,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Project / Process,Product and Infra Setup Understanding,min 5 unique knowledge article submission on quarterly basis,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Project / Process,BAU activities,Baseon SLA,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,Project / Process,User Based issues,Depends on priority agreed by bank,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,Project / Process,Quaterly Activity -DR Drill,Quarterly,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,Internal / External Customer,Response to queries,Max in 24 Hrs all the time,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Internal / External Customer,Drop in Escalation,Drop in escalation by 80%,2.00,Sourced from Application Support / L1 Support
Support,Senior Executive,Internal / External Customer,C-SAT,8 by 10,2.00,Templatised data from client/internal manager; Sourced from Application Support / L1 Support
Support,Senior Executive,Internal / External Customer,MIS Report,based on frequency as per client requirement,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,Internal / External Customer,Performance report to bank,Daily basis,3.00,"Not rated for this year - but practice initiated; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,People,Timely Interviews,Not more than 10% cancellation / postponement,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,People,Compliance to Zoho Time,1,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,People,Team attrition for Overall CI,< 15%,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,People,Employee Review Quarterly,1,2.00,Sourced from Application Support / L1 Support
Support,Senior Executive,People,Time sheet,100% Adherence,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,People,JIRA,100% Adherence,3.00,Sourced from Application Support / L1 Support
Support,Senior Executive,People,Interpersonal skills,No Major Escalation for behavioral issues,2.00,Sourced from Application Support / L1 Support
Support,Senior Executive,People,Training,40 hours of training in a year arrnaged by MGS,2.00,Sourced from Application Support / L1 Support
Support,Senior Executive,People,Timesheet,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Executive,People,JIRA Tracking,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Senior Software Analyst,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be analysed and highlighted to next level,10.00,Dependancy on development team; Sourced from Application Support / L2 Support
Support,Senior Software Analyst,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,Project / Process,Issue Analysis - Application Defect Indentification,100% Cases/Tickets reported by client to be closed end to end,10.00,Dependancy on development team; Sourced from Application Support / L2 Support
Support,Senior Software Analyst,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,Project / Process,Review daily Task of L1 Support /Monitoring,100% Submission of daily tracker,10.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,Project / Process,Meeting with Client/Internal team,weekly meeting with proper MOM & Actionable,10.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,Project / Process,Product and Infra Setup Understanding,min 10 unique knowledge article submission on quarterly basis,10.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,Internal / External Customer,C-SAT,8 by 10,5.00,Templatised data from client and internal manager; Sourced from Application Support / L2 Support
Support,Senior Software Analyst,People,Time sheet,100% Adherence,5.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,People,JIRA,100% Adherence,10.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Sourced from Application Support / L2 Support
Support,Senior Software Analyst,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Sourced from Application Support / L2 Support
Support,Software Analyst,Financial,Payment Milestones,Ontime or max delay of 3 months,3.00,Sourced from Application Support / L1 Support
Support,Software Analyst,Financial,Time to respond to RFPs Estimates,Max 5 days,2.00,Sourced from Application Support / L1 Support
Support,Software Analyst,Financial,People Addition to project,Not more than 10% more than planned,3.00,Sourced from Application Support / L1 Support
Support,Software Analyst,Financial,Incident analysis,100% adherence to SLA of trouble shooting and timely action based on defined SOPs and instructions by L2/ L3,5.00,Sourced from Application Support / L1 Support
Support,Software Analyst,Financial,Monthly Billing Data,before 5th of every month to A/C & Finance,3.00,"Mention Dependencies if any; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Software Analyst,Financial,Unplanned downtime,As per SLA,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Software Analyst,Financial,Technical declines,Success Rate approx 99.95%,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Software Analyst,Project / Process,Use of Tools (Zoho) for project Tracking,100% Adaption,3.00,Sourced from Application Support / L1 Support
Support,Software Analyst,Project / Process,Stage wise tracking of estimates planned vs actual,Every Month for all projects,2.00,Sourced from Application Support / L1 Support
